"Statistic Label","Sex","Industry","Province County or City","CensusYear","UNIT","VALUE"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","State","2002","Number","97281"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","State","2006","Number","89277"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","State","2011","Number","94247"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","State","2016","Number","89116"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leinster","2002","Number","31795"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leinster","2006","Number","29655"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leinster","2011","Number","30594"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leinster","2016","Number","29507"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Carlow","2002","Number","1581"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Carlow","2006","Number","1413"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Carlow","2011","Number","1397"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Carlow","2016","Number","1615"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin","2002","Number","2711"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin","2006","Number","2987"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin","2011","Number","2949"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin","2016","Number","2010"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin City","2002","Number","624"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin City","2006","Number","640"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin City","2011","Number","655"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dublin City","2016","Number","356"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dún Laoghaire-Rathdown","2002","Number","382"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dún Laoghaire-Rathdown","2006","Number","427"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dún Laoghaire-Rathdown","2011","Number","430"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Dún Laoghaire-Rathdown","2016","Number","225"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Fingal","2002","Number","1294"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Fingal","2006","Number","1437"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Fingal","2011","Number","1437"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Fingal","2016","Number","1193"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Dublin","2002","Number","411"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Dublin","2006","Number","483"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Dublin","2011","Number","427"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Dublin","2016","Number","236"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kildare","2002","Number","3096"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kildare","2006","Number","3048"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kildare","2011","Number","3028"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kildare","2016","Number","3190"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kilkenny","2002","Number","3550"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kilkenny","2006","Number","3247"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kilkenny","2011","Number","3386"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kilkenny","2016","Number","3488"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Laois","2002","Number","2604"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Laois","2006","Number","2293"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Laois","2011","Number","2469"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Laois","2016","Number","2431"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Longford","2002","Number","1415"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Longford","2006","Number","1176"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Longford","2011","Number","1323"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Longford","2016","Number","1159"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Louth","2002","Number","1470"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Louth","2006","Number","1331"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Louth","2011","Number","1357"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Louth","2016","Number","1347"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Meath","2002","Number","3835"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Meath","2006","Number","3674"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Meath","2011","Number","3748"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Meath","2016","Number","3734"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Offaly","2002","Number","2327"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Offaly","2006","Number","2152"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Offaly","2011","Number","2286"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Offaly","2016","Number","2217"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Westmeath","2002","Number","2011"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Westmeath","2006","Number","1824"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Westmeath","2011","Number","1925"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Westmeath","2016","Number","1944"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wexford","2002","Number","4751"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wexford","2006","Number","4216"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wexford","2011","Number","4371"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wexford","2016","Number","4310"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wicklow","2002","Number","2444"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wicklow","2006","Number","2294"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wicklow","2011","Number","2355"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Wicklow","2016","Number","2062"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Munster","2002","Number","37515"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Munster","2006","Number","34163"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Munster","2011","Number","36305"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Munster","2016","Number","33994"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Clare","2002","Number","3999"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Clare","2006","Number","3213"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Clare","2011","Number","3840"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Clare","2016","Number","3423"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork","2002","Number","13174"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork","2006","Number","12241"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork","2011","Number","13035"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork","2016","Number","12066"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork City","2002","Number","171"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork City","2006","Number","199"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork City","2011","Number","167"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork City","2016","Number","120"
