"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","State","1926","Number of Households","Number",""
"All households","State","1926","Number of Persons Resident","Number","2971992"
"All households","State","1936","Number of Households","Number",""
"All households","State","1936","Number of Persons Resident","Number","2968420"
"All households","State","1946","Number of Households","Number",""
"All households","State","1946","Number of Persons Resident","Number","2955107"
"All households","State","1961","Number of Households","Number",""
"All households","State","1961","Number of Persons Resident","Number","2818341"
"All households","State","1966","Number of Households","Number",""
"All households","State","1966","Number of Persons Resident","Number","2884002"
"All households","State","1971","Number of Households","Number",""
"All households","State","1971","Number of Persons Resident","Number","2978248"
"All households","State","1979","Number of Households","Number","880063"
"All households","State","1979","Number of Persons Resident","Number","3368217"
"All households","State","1981","Number of Households","Number","913928"
"All households","State","1981","Number of Persons Resident","Number","3443405"
"All households","State","1986","Number of Households","Number","979684"
"All households","State","1986","Number of Persons Resident","Number","3540643"
"All households","State","1991","Number of Households","Number","1032810"
"All households","State","1991","Number of Persons Resident","Number","3525719"
"All households","State","1996","Number of Households","Number","1127318"
"All households","State","1996","Number of Persons Resident","Number","3626087"
"All households","State","2002","Number of Households","Number","1292291"
"All households","State","2002","Number of Persons Resident","Number","3899001"
"All households","State","2006","Number of Households","Number","1473718"
"All households","State","2006","Number of Persons Resident","Number","4231318"
"All households","State","2011","Number of Households","Number","1658243"
"All households","State","2011","Number of Persons Resident","Number","4620306"
"All households","State","2016","Number of Households","Number","1706429"
"All households","State","2016","Number of Persons Resident","Number","4802847"
"All households","Leinster","1926","Number of Households","Number",""
"All households","Leinster","1926","Number of Persons Resident","Number","1149092"
"All households","Leinster","1936","Number of Households","Number",""
"All households","Leinster","1936","Number of Persons Resident","Number","1220411"
"All households","Leinster","1946","Number of Households","Number",""
"All households","Leinster","1946","Number of Persons Resident","Number","1281117"
"All households","Leinster","1961","Number of Households","Number",""
"All households","Leinster","1961","Number of Persons Resident","Number","1332149"
"All households","Leinster","1966","Number of Households","Number",""
"All households","Leinster","1966","Number of Persons Resident","Number","1414415"
"All households","Leinster","1971","Number of Households","Number",""
"All households","Leinster","1971","Number of Persons Resident","Number","1498140"
"All households","Leinster","1979","Number of Households","Number","454461"
"All households","Leinster","1979","Number of Persons Resident","Number","1743861"
"All households","Leinster","1981","Number of Households","Number","473522"
"All households","Leinster","1981","Number of Persons Resident","Number","1790521"
"All households","Leinster","1986","Number of Households","Number","512601"
"All households","Leinster","1986","Number of Persons Resident","Number","1852649"
"All households","Leinster","1991","Number of Households","Number","546399"
"All households","Leinster","1991","Number of Persons Resident","Number","1860949"
"All households","Leinster","1996","Number of Households","Number","602675"
"All households","Leinster","1996","Number of Persons Resident","Number","1924702"
"All households","Leinster","2002","Number of Households","Number","694542"
"All households","Leinster","2002","Number of Persons Resident","Number","2102334"
"All households","Leinster","2006","Number of Households","Number","796758"
"All households","Leinster","2006","Number of Persons Resident","Number","2295832"
"All households","Leinster","2011","Number of Households","Number","899461"
"All households","Leinster","2011","Number of Persons Resident","Number","2522725"
"All households","Leinster","2016","Number of Households","Number","927315"
"All households","Leinster","2016","Number of Persons Resident","Number","2658169"
"All households","Carlow","1926","Number of Households","Number",""
"All households","Carlow","1926","Number of Persons Resident","Number","34476"
"All households","Carlow","1936","Number of Households","Number",""
"All households","Carlow","1936","Number of Persons Resident","Number","34452"
"All households","Carlow","1946","Number of Households","Number",""
"All households","Carlow","1946","Number of Persons Resident","Number","34081"
"All households","Carlow","1961","Number of Households","Number",""
"All households","Carlow","1961","Number of Persons Resident","Number","33342"
"All households","Carlow","1966","Number of Households","Number",""
"All households","Carlow","1966","Number of Persons Resident","Number","33593"
"All households","Carlow","1971","Number of Households","Number",""
"All households","Carlow","1971","Number of Persons Resident","Number","34237"
"All households","Carlow","1979","Number of Households","Number","9577"
"All households","Carlow","1979","Number of Persons Resident","Number","38668"
"All households","Carlow","1981","Number of Households","Number","10011"
"All households","Carlow","1981","Number of Persons Resident","Number","39820"
"All households","Carlow","1986","Number of Households","Number","10779"
"All households","Carlow","1986","Number of Persons Resident","Number","40988"
"All households","Carlow","1991","Number of Households","Number","11348"
"All households","Carlow","1991","Number of Persons Resident","Number","40942"
"All households","Carlow","1996","Number of Households","Number","12356"
"All households","Carlow","1996","Number of Persons Resident","Number","41616"
"All households","Carlow","2002","Number of Households","Number","14973"
"All households","Carlow","2002","Number of Persons Resident","Number","45521"
"All households","Carlow","2006","Number of Households","Number","17232"
"All households","Carlow","2006","Number of Persons Resident","Number","50066"
"All households","Carlow","2011","Number of Households","Number","19481"
"All households","Carlow","2011","Number of Persons Resident","Number","54862"
"All households","Carlow","2016","Number of Households","Number","20575"
"All households","Carlow","2016","Number of Persons Resident","Number","57322"
"All households","Dublin","1926","Number of Households","Number",""
"All households","Dublin","1926","Number of Persons Resident","Number","505654"
"All households","Dublin","1936","Number of Households","Number",""
"All households","Dublin","1936","Number of Persons Resident","Number","586925"
