Year,Industry,County,WorkingPopulation,Population,EarningsEuro,pctIndustryEmployement
2002,"Agriculture, forestry and fishing",Carlow,1581.0,46014.0,809.06,3.4359108097535533
2006,"Agriculture, forestry and fishing",Carlow,1413.0,50349.0,1187.51,2.8064112494786393
2011,"Agriculture, forestry and fishing",Carlow,1397.0,54612.0,1236.43,2.5580458507287775
2016,"Agriculture, forestry and fishing",Carlow,1615.0,56932.0,1406.4,2.836717487528982
2002,"Agriculture, forestry and fishing",Dublin,2711.0,1122821.0,27289.04,0.24144543074987018
2006,"Agriculture, forestry and fishing",Dublin,2987.0,1187176.0,36109.1,0.25160549067703525
2011,"Agriculture, forestry and fishing",Dublin,2949.0,1273069.0,37612.95,0.2316449461890911
2016,"Agriculture, forestry and fishing",Dublin,2010.0,1347359.0,45235.86,0.14918073059963974
2002,"Agriculture, forestry and fishing",Kildare,3096.0,163944.0,3741.47,1.8884497145366712
2006,"Agriculture, forestry and fishing",Kildare,3048.0,186335.0,5532.02,1.6357635441543457
2011,"Agriculture, forestry and fishing",Kildare,3028.0,210312.0,5382.11,1.43976568146373
2016,"Agriculture, forestry and fishing",Kildare,3190.0,222504.0,6549.12,1.4336820911084744
2002,"Agriculture, forestry and fishing",Kilkenny,3550.0,80339.0,1420.61,4.418775439076912
2006,"Agriculture, forestry and fishing",Kilkenny,3247.0,87558.0,2109.2,3.7083990040887187
2011,"Agriculture, forestry and fishing",Kilkenny,3386.0,95419.0,2097.65,3.548559511208459
2016,"Agriculture, forestry and fishing",Kilkenny,3488.0,99232.0,2433.84,3.5149951628506932
2002,"Agriculture, forestry and fishing",Laois,2604.0,58774.0,1080.46,4.43053050668663
2006,"Agriculture, forestry and fishing",Laois,2293.0,67059.0,1622.99,3.4193769665518423
2011,"Agriculture, forestry and fishing",Laois,2469.0,80559.0,1773.75,3.0648344691468368
2016,"Agriculture, forestry and fishing",Laois,2431.0,84697.0,1965.76,2.8702315312230655
2002,"Agriculture, forestry and fishing",Longford,1415.0,31068.0,575.99,4.554525556843054
2006,"Agriculture, forestry and fishing",Longford,1176.0,34391.0,823.53,3.4194992876043147
2011,"Agriculture, forestry and fishing",Longford,1323.0,39000.0,819.22,3.3923076923076922
2016,"Agriculture, forestry and fishing",Longford,1159.0,40873.0,900.29,2.835612751694273
2002,"Agriculture, forestry and fishing",Louth,1470.0,101821.0,2135.75,1.4437100401685312
2006,"Agriculture, forestry and fishing",Louth,1331.0,111267.0,2819.45,1.196221700953562
2011,"Agriculture, forestry and fishing",Louth,1357.0,122897.0,2792.38,1.1041766682669227
2016,"Agriculture, forestry and fishing",Louth,1347.0,128884.0,3169.29,1.0451258496011917
2002,"Agriculture, forestry and fishing",Meath,3835.0,134005.0,2760.13,2.861833513674863
2006,"Agriculture, forestry and fishing",Meath,3674.0,162831.0,4547.05,2.2563271121592328
2011,"Agriculture, forestry and fishing",Meath,3748.0,184135.0,4517.75,2.035463111304206
2016,"Agriculture, forestry and fishing",Meath,3734.0,195044.0,5326.35,1.9144398187075737
2002,"Agriculture, forestry and fishing",Offaly,2327.0,63663.0,1153.52,3.655184329987591
2006,"Agriculture, forestry and fishing",Offaly,2152.0,70868.0,1696.29,3.0366314838855337
2011,"Agriculture, forestry and fishing",Offaly,2286.0,76687.0,1566.91,2.980948531041767
2016,"Agriculture, forestry and fishing",Offaly,2217.0,77961.0,1738.22,2.8437295570862355
2002,"Agriculture, forestry and fishing",Westmeath,2011.0,71858.0,1416.39,2.798574967296613
2006,"Agriculture, forestry and fishing",Westmeath,1824.0,79346.0,1922.68,2.2987926297481915
2011,"Agriculture, forestry and fishing",Westmeath,1925.0,86164.0,1910.08,2.234111693978924
2016,"Agriculture, forestry and fishing",Westmeath,1944.0,88770.0,2135.55,2.189929030077729
2002,"Agriculture, forestry and fishing",Wexford,4751.0,116596.0,2100.64,4.074753850903976
2006,"Agriculture, forestry and fishing",Wexford,4216.0,131749.0,3148.13,3.200024288609401
2011,"Agriculture, forestry and fishing",Wexford,4371.0,145320.0,3144.64,3.00784475639967
2016,"Agriculture, forestry and fishing",Wexford,4310.0,149722.0,3534.74,2.878668465556164
2002,"Agriculture, forestry and fishing",Wicklow,2444.0,114676.0,2469.38,2.131221877289058
2006,"Agriculture, forestry and fishing",Wicklow,2294.0,126194.0,3464.61,1.8178360302391556
2011,"Agriculture, forestry and fishing",Wicklow,2355.0,136640.0,3431.16,1.723507025761124
2016,"Agriculture, forestry and fishing",Wicklow,2062.0,142425.0,4058.4,1.44777953308759
2002,"Agriculture, forestry and fishing",Clare,3999.0,103277.0,1981.22,3.872110924988139
2006,"Agriculture, forestry and fishing",Clare,3213.0,110950.0,2675.52,2.8958990536277605
2011,"Agriculture, forestry and fishing",Clare,3840.0,117196.0,2658.28,3.2765623400116044
2016,"Agriculture, forestry and fishing",Clare,3423.0,118817.0,3004.26,2.880900881187036
2002,"Agriculture, forestry and fishing",Cork,13174.0,447829.0,9049.27,2.9417478546498774
2006,"Agriculture, forestry and fishing",Cork,12241.0,481295.0,12537.3,2.543346596162437
2011,"Agriculture, forestry and fishing",Cork,13035.0,519032.0,12829.17,2.5114058478089984
2016,"Agriculture, forestry and fishing",Cork,12066.0,542868.0,14725.07,2.222639757731161
2002,"Agriculture, forestry and fishing",Kerry,5866.0,132527.0,2238.72,4.4262678548522185
2006,"Agriculture, forestry and fishing",Kerry,5040.0,139835.0,3119.66,3.604247863553474
2011,"Agriculture, forestry and fishing",Kerry,5621.0,145502.0,3087.22,3.8631771384585782
2016,"Agriculture, forestry and fishing",Kerry,4913.0,147707.0,3612.05,3.3261795310987297
2002,"Agriculture, forestry and fishing",Limerick,4571.0,175304.0,3478.86,2.6074704513302605
2006,"Agriculture, forestry and fishing",Limerick,4161.0,184055.0,4723.34,2.260737279617506
2011,"Agriculture, forestry and fishing",Limerick,4388.0,191809.0,5117.08,2.2876924440459
2016,"Agriculture, forestry and fishing",Limerick,4263.0,194899.0,5940.79,2.187286748521029
2002,"Agriculture, forestry and fishing",Tipperary,7020.0,140131.0,2636.1,5.009598161720104
2006,"Agriculture, forestry and fishing",Tipperary,6784.0,149244.0,3738.82,4.545576371579426
2011,"Agriculture, forestry and fishing",Tipperary,6817.0,158754.0,3557.11,4.294065031432279
2016,"Agriculture, forestry and fishing",Tipperary,6740.0,159553.0,4015.79,4.224301642714333
2002,"Agriculture, forestry and fishing",Waterford,2885.0,101546.0,2079.25,2.8410769503476256
2006,"Agriculture, forestry and fishing",Waterford,2724.0,107961.0,2738.67,2.5231333537110623
2011,"Agriculture, forestry and fishing",Waterford,2604.0,113795.0,2621.92,2.2883254976053427
2016,"Agriculture, forestry and fishing",Waterford,2589.0,116176.0,2949.46,2.2285153560115685
2002,"Agriculture, forestry and fishing",Galway,6615.0,209077.0,3864.7,3.1639061207115087
2006,"Agriculture, forestry and fishing",Galway,5968.0,231670.0,5658.09,2.5760780420425604
2011,"Agriculture, forestry and fishing",Galway,6224.0,250653.0,5781.47,2.4831141059552446
2016,"Agriculture, forestry and fishing",Galway,5668.0,258058.0,6649.36,2.196405459237846
2002,"Agriculture, forestry and fishing",Leitrim,1275.0,25799.0,445.61,4.942052017520059
2006,"Agriculture, forestry and fishing",Leitrim,1173.0,28950.0,671.98,4.05181347150259
2011,"Agriculture, forestry and fishing",Leitrim,1215.0,31798.0,722.52,3.8209950311340335
2016,"Agriculture, forestry and fishing",Leitrim,1091.0,32044.0,758.26,3.404693546373736
2002,"Agriculture, forestry and fishing",Mayo,5089.0,117446.0,2069.46,4.333055191321969
2006,"Agriculture, forestry and fishing",Mayo,4754.0,123839.0,2794.7,3.838855287914147
2011,"Agriculture, forestry and fishing",Mayo,5411.0,130638.0,2813.34,4.1419801282934525
2016,"Agriculture, forestry and fishing",Mayo,4395.0,130507.0,3021.68,3.367635452504463
2002,"Agriculture, forestry and fishing",Roscommon,2799.0,53774.0,967.07,5.205117714880798
2006,"Agriculture, forestry and fishing",Roscommon,2606.0,58768.0,1381.36,4.4343860604410565
2011,"Agriculture, forestry and fishing",Roscommon,2451.0,64065.0,1364.72,3.825801919925076
2016,"Agriculture, forestry and fishing",Roscommon,2311.0,64544.0,1482.21,3.5805032226078337
2002,"Agriculture, forestry and fishing",Sligo,1928.0,58200.0,1068.23,3.312714776632302
2006,"Agriculture, forestry and fishing",Sligo,1795.0,60894.0,1494.86,2.9477452622590072
2011,"Agriculture, forestry and fishing",Sligo,1770.0,65393.0,1482.28,2.706711727554937
2016,"Agriculture, forestry and fishing",Sligo,1868.0,65535.0,1600.14,2.8503852903028917
2002,"Agriculture, forestry and fishing",Cavan,3367.0,56546.0,990.59,5.954444169348848
2006,"Agriculture, forestry and fishing",Cavan,2740.0,64003.0,1472.28,4.281049325812853
2011,"Agriculture, forestry and fishing",Cavan,3381.0,73183.0,1540.72,4.61992539250919
2016,"Agriculture, forestry and fishing",Cavan,3455.0,76176.0,1752.67,4.535549254358328
2002,"Agriculture, forestry and fishing",Donegal,4042.0,137575.0,2111.18,2.938033799745593
2006,"Agriculture, forestry and fishing",Donegal,3796.0,147264.0,2941.41,2.577683615819209
2011,"Agriculture, forestry and fishing",Donegal,4036.0,161137.0,3104.24,2.504700968740885
2016,"Agriculture, forestry and fishing",Donegal,3977.0,159192.0,3230.88,2.4982411176441026
2002,"Agriculture, forestry and fishing",Monaghan,2856.0,52593.0,914.77,5.430380468883691
2006,"Agriculture, forestry and fishing",Monaghan,2627.0,55997.0,1296.83,4.691322749433005
2011,"Agriculture, forestry and fishing",Monaghan,2860.0,60483.0,1274.55,4.728601425193856
2016,"Agriculture, forestry and fishing",Monaghan,2850.0,61386.0,1386.76,4.642752419118366
2002,"Mining, quarrying and turf production",Carlow,121.0,46014.0,809.06,0.2629634459077672
2006,"Mining, quarrying and turf production",Carlow,156.0,50349.0,1187.51,0.3098373353989156
2011,"Mining, quarrying and turf production",Carlow,149.0,54612.0,1236.43,0.2728338094191753
2016,"Mining, quarrying and turf production",Carlow,145.0,56932.0,1406.4,0.2546898053818591
2002,"Mining, quarrying and turf production",Dublin,349.0,1122821.0,27289.04,0.031082425426670855
2006,"Mining, quarrying and turf production",Dublin,345.0,1187176.0,36109.1,0.029060560523460715
2011,"Mining, quarrying and turf production",Dublin,260.0,1273069.0,37612.95,0.02042308782948921
2016,"Mining, quarrying and turf production",Dublin,277.0,1347359.0,45235.86,0.020558737500547368
2002,"Mining, quarrying and turf production",Kildare,402.0,163944.0,3741.47,0.24520567998828868
2006,"Mining, quarrying and turf production",Kildare,400.0,186335.0,5532.02,0.21466713177878552
2011,"Mining, quarrying and turf production",Kildare,325.0,210312.0,5382.11,0.15453231389554567
2016,"Mining, quarrying and turf production",Kildare,355.0,222504.0,6549.12,0.1595476935246108
2002,"Mining, quarrying and turf production",Kilkenny,259.0,80339.0,1420.61,0.32238389823124514
2006,"Mining, quarrying and turf production",Kilkenny,297.0,87558.0,2109.2,0.33920372781470565
2011,"Mining, quarrying and turf production",Kilkenny,264.0,95419.0,2097.65,0.276674456869177
2016,"Mining, quarrying and turf production",Kilkenny,152.0,99232.0,2433.84,0.15317639471138342
2002,"Mining, quarrying and turf production",Laois,254.0,58774.0,1080.46,0.4321638819886345
2006,"Mining, quarrying and turf production",Laois,288.0,67059.0,1622.99,0.4294725540195947
2011,"Mining, quarrying and turf production",Laois,203.0,80559.0,1773.75,0.25198922528829804
2016,"Mining, quarrying and turf production",Laois,187.0,84697.0,1965.76,0.22078704086331274
2002,"Mining, quarrying and turf production",Longford,156.0,31068.0,575.99,0.5021243723445346
2006,"Mining, quarrying and turf production",Longford,184.0,34391.0,823.53,0.5350236980605391
2011,"Mining, quarrying and turf production",Longford,137.0,39000.0,819.22,0.3512820512820513
2016,"Mining, quarrying and turf production",Longford,134.0,40873.0,900.29,0.3278447875125388
2002,"Mining, quarrying and turf production",Louth,167.0,101821.0,2135.75,0.1640133174885338
2006,"Mining, quarrying and turf production",Louth,186.0,111267.0,2819.45,0.16716546685000944
2011,"Mining, quarrying and turf production",Louth,165.0,122897.0,2792.38,0.1342587695387194
2016,"Mining, quarrying and turf production",Louth,85.0,128884.0,3169.29,0.06595077744328233
2002,"Mining, quarrying and turf production",Meath,726.0,134005.0,2760.13,0.5417708294466624
2006,"Mining, quarrying and turf production",Meath,905.0,162831.0,4547.05,0.555790973463284
2011,"Mining, quarrying and turf production",Meath,748.0,184135.0,4517.75,0.4062236945719173
2016,"Mining, quarrying and turf production",Meath,704.0,195044.0,5326.35,0.3609441972067841
2002,"Mining, quarrying and turf production",Offaly,598.0,63663.0,1153.52,0.9393211127342413
2006,"Mining, quarrying and turf production",Offaly,638.0,70868.0,1696.29,0.900265281932607
2011,"Mining, quarrying and turf production",Offaly,585.0,76687.0,1566.91,0.7628411595185625
2016,"Mining, quarrying and turf production",Offaly,455.0,77961.0,1738.22,0.5836251459062864
2002,"Mining, quarrying and turf production",Westmeath,201.0,71858.0,1416.39,0.27971833337972113
2006,"Mining, quarrying and turf production",Westmeath,238.0,79346.0,1922.68,0.29995210848688025
2011,"Mining, quarrying and turf production",Westmeath,179.0,86164.0,1910.08,0.20774337310245578
2016,"Mining, quarrying and turf production",Westmeath,130.0,88770.0,2135.55,0.14644587135293455
2002,"Mining, quarrying and turf production",Wexford,128.0,116596.0,2100.64,0.10978078150193833
2006,"Mining, quarrying and turf production",Wexford,166.0,131749.0,3148.13,0.12599716126877625
2011,"Mining, quarrying and turf production",Wexford,88.0,145320.0,3144.64,0.060556014313239745
2016,"Mining, quarrying and turf production",Wexford,104.0,149722.0,3534.74,0.06946206970251532
2002,"Mining, quarrying and turf production",Wicklow,150.0,114676.0,2469.38,0.13080330670759358
2006,"Mining, quarrying and turf production",Wicklow,173.0,126194.0,3464.61,0.13709051143477502
2011,"Mining, quarrying and turf production",Wicklow,98.0,136640.0,3431.16,0.07172131147540983
2016,"Mining, quarrying and turf production",Wicklow,108.0,142425.0,4058.4,0.07582938388625592
2002,"Mining, quarrying and turf production",Clare,222.0,103277.0,1981.22,0.21495589531066936
2006,"Mining, quarrying and turf production",Clare,261.0,110950.0,2675.52,0.2352410995944119
2011,"Mining, quarrying and turf production",Clare,97.0,117196.0,2658.28,0.08276732994300147
2016,"Mining, quarrying and turf production",Clare,117.0,118817.0,3004.26,0.09847075755152883
2002,"Mining, quarrying and turf production",Cork,407.0,447829.0,9049.27,0.09088290396557615
2006,"Mining, quarrying and turf production",Cork,481.0,481295.0,12537.3,0.099938707029992
2011,"Mining, quarrying and turf production",Cork,252.0,519032.0,12829.17,0.04855191972749272
2016,"Mining, quarrying and turf production",Cork,224.0,542868.0,14725.07,0.041262332648083884
2002,"Mining, quarrying and turf production",Kerry,160.0,132527.0,2238.72,0.1207301153727165
2006,"Mining, quarrying and turf production",Kerry,247.0,139835.0,3119.66,0.17663675045589444
2011,"Mining, quarrying and turf production",Kerry,121.0,145502.0,3087.22,0.0831603689296367
2016,"Mining, quarrying and turf production",Kerry,121.0,147707.0,3612.05,0.08191893410603424
2002,"Mining, quarrying and turf production",Limerick,144.0,175304.0,3478.86,0.08214302012503993
2006,"Mining, quarrying and turf production",Limerick,152.0,184055.0,4723.34,0.08258401021433812
2011,"Mining, quarrying and turf production",Limerick,152.0,191809.0,5117.08,0.0792454994291196
2016,"Mining, quarrying and turf production",Limerick,123.0,194899.0,5940.79,0.06310961061883334
2002,"Mining, quarrying and turf production",Tipperary,575.0,140131.0,2636.1,0.41033033375912537
2006,"Mining, quarrying and turf production",Tipperary,684.0,149244.0,3738.82,0.4583098818042936
2011,"Mining, quarrying and turf production",Tipperary,529.0,158754.0,3557.11,0.3332199503634554
2016,"Mining, quarrying and turf production",Tipperary,277.0,159553.0,4015.79,0.17361002300176118
2002,"Mining, quarrying and turf production",Waterford,33.0,101546.0,2079.25,0.03249758730033679
2006,"Mining, quarrying and turf production",Waterford,66.0,107961.0,2738.67,0.06113318698418873
2011,"Mining, quarrying and turf production",Waterford,32.0,113795.0,2621.92,0.02812074344215475
2016,"Mining, quarrying and turf production",Waterford,42.0,116176.0,2949.46,0.03615204517284121
2002,"Mining, quarrying and turf production",Galway,388.0,209077.0,3864.7,0.18557756233349437
2006,"Mining, quarrying and turf production",Galway,439.0,231670.0,5658.09,0.18949367634998057
2011,"Mining, quarrying and turf production",Galway,324.0,250653.0,5781.47,0.12926236669818433
2016,"Mining, quarrying and turf production",Galway,341.0,258058.0,6649.36,0.13214083655612305
2002,"Mining, quarrying and turf production",Leitrim,86.0,25799.0,445.61,0.33334625373076476
2006,"Mining, quarrying and turf production",Leitrim,111.0,28950.0,671.98,0.383419689119171
2011,"Mining, quarrying and turf production",Leitrim,78.0,31798.0,722.52,0.24529844644317253
2016,"Mining, quarrying and turf production",Leitrim,58.0,32044.0,758.26,0.18100112345524902
2002,"Mining, quarrying and turf production",Mayo,307.0,117446.0,2069.46,0.261396727006454
2006,"Mining, quarrying and turf production",Mayo,337.0,123839.0,2794.7,0.272127520409564
2011,"Mining, quarrying and turf production",Mayo,249.0,130638.0,2813.34,0.19060304046295873
2016,"Mining, quarrying and turf production",Mayo,255.0,130507.0,3021.68,0.1953918180633989
2002,"Mining, quarrying and turf production",Roscommon,340.0,53774.0,967.07,0.6322758210287499
2006,"Mining, quarrying and turf production",Roscommon,366.0,58768.0,1381.36,0.6227879117887285
2011,"Mining, quarrying and turf production",Roscommon,209.0,64065.0,1364.72,0.32623117146647934
2016,"Mining, quarrying and turf production",Roscommon,222.0,64544.0,1482.21,0.34395141298958853
2002,"Mining, quarrying and turf production",Sligo,45.0,58200.0,1068.23,0.07731958762886598
2006,"Mining, quarrying and turf production",Sligo,70.0,60894.0,1494.86,0.11495385423851281
2011,"Mining, quarrying and turf production",Sligo,41.0,65393.0,1482.28,0.06269784227669628
2016,"Mining, quarrying and turf production",Sligo,32.0,65535.0,1600.14,0.04882887006942855
2002,"Mining, quarrying and turf production",Cavan,142.0,56546.0,990.59,0.25112297952109786
2006,"Mining, quarrying and turf production",Cavan,192.0,64003.0,1472.28,0.29998593815914876
2011,"Mining, quarrying and turf production",Cavan,122.0,73183.0,1540.72,0.16670538239755134
2016,"Mining, quarrying and turf production",Cavan,133.0,76176.0,1752.67,0.1745956731779038
2002,"Mining, quarrying and turf production",Donegal,211.0,137575.0,2111.18,0.15337088860621478
2006,"Mining, quarrying and turf production",Donegal,248.0,147264.0,2941.41,0.16840504128639722
2011,"Mining, quarrying and turf production",Donegal,195.0,161137.0,3104.24,0.12101503689407152
2016,"Mining, quarrying and turf production",Donegal,187.0,159192.0,3230.88,0.11746821448313986
2002,"Mining, quarrying and turf production",Monaghan,87.0,52593.0,914.77,0.16542125377902
2006,"Mining, quarrying and turf production",Monaghan,121.0,55997.0,1296.83,0.2160830044466668
2011,"Mining, quarrying and turf production",Monaghan,72.0,60483.0,1274.55,0.11904171420068449
2016,"Mining, quarrying and turf production",Monaghan,87.0,61386.0,1386.76,0.14172612647835012
2002,Manufacturing industries,Carlow,3648.0,46014.0,809.06,7.92802190637632
