CensusYear,Industry,County,WorkingPopulation,Population,MeanIncome,pctIndustryEmployement
2011,"Agriculture, forestry and fishing",Carlow,1397.0,54612.0,34815.0,2.5580458507287775
2016,"Agriculture, forestry and fishing",Carlow,1615.0,56932.0,35234.0,2.836717487528982
2011,"Agriculture, forestry and fishing",Dublin,2949.0,1273069.0,44243.0,0.2316449461890911
2016,"Agriculture, forestry and fishing",Dublin,2010.0,1347359.0,46976.0,0.14918073059963974
2011,"Agriculture, forestry and fishing",Kildare,3028.0,210312.0,42084.0,1.43976568146373
2016,"Agriculture, forestry and fishing",Kildare,3190.0,222504.0,44092.0,1.4336820911084744
2011,"Agriculture, forestry and fishing",Kilkenny,3386.0,95419.0,36856.0,3.548559511208459
2016,"Agriculture, forestry and fishing",Kilkenny,3488.0,99232.0,37338.0,3.5149951628506932
2011,"Agriculture, forestry and fishing",Laois,2469.0,80559.0,37253.0,3.0648344691468368
2016,"Agriculture, forestry and fishing",Laois,2431.0,84697.0,37703.0,2.8702315312230655
2011,"Agriculture, forestry and fishing",Longford,1323.0,39000.0,33473.0,3.3923076923076922
2016,"Agriculture, forestry and fishing",Longford,1159.0,40873.0,34144.0,2.835612751694273
2011,"Agriculture, forestry and fishing",Louth,1357.0,122897.0,36209.0,1.1041766682669227
2016,"Agriculture, forestry and fishing",Louth,1347.0,128884.0,37147.0,1.0451258496011917
2011,"Agriculture, forestry and fishing",Meath,3748.0,184135.0,41083.0,2.035463111304206
2016,"Agriculture, forestry and fishing",Meath,3734.0,195044.0,42755.0,1.9144398187075737
2011,"Agriculture, forestry and fishing",Offaly,2286.0,76687.0,35380.0,2.980948531041767
2016,"Agriculture, forestry and fishing",Offaly,2217.0,77961.0,35901.0,2.8437295570862355
2011,"Agriculture, forestry and fishing",Westmeath,1925.0,86164.0,37076.0,2.234111693978924
2016,"Agriculture, forestry and fishing",Westmeath,1944.0,88770.0,37856.0,2.189929030077729
2011,"Agriculture, forestry and fishing",Wexford,4371.0,145320.0,33672.0,3.00784475639967
2016,"Agriculture, forestry and fishing",Wexford,4310.0,149722.0,34430.0,2.878668465556164
2011,"Agriculture, forestry and fishing",Wicklow,2355.0,136640.0,41725.0,1.723507025761124
2016,"Agriculture, forestry and fishing",Wicklow,2062.0,142425.0,43075.0,1.44777953308759
2011,"Agriculture, forestry and fishing",Clare,3840.0,117196.0,38592.0,3.2765623400116044
2016,"Agriculture, forestry and fishing",Clare,3423.0,118817.0,39716.0,2.880900881187036
2011,"Agriculture, forestry and fishing",Cork,13035.0,519032.0,39169.0,2.5114058478089984
